nohup: ignoring input
Command Line Args: Namespace(config_file='configs/PascalVOC-detection/split1/faster_rcnn_R_101_FPN_ETF_distill1_10shot.yaml', dist_url='tcp://127.0.0.1:49152', end_iter=-1, eval_all=False, eval_during_train=False, eval_iter=-1, eval_only=False, machine_rank=0, num_gpus=2, num_machines=1, opts=None, resume=False, start_iter=-1)
Logging modification for finetuning
[11/15 16:34:29 detectron2]: Rank of current process: 0. World size: 2
[11/15 16:34:29 detectron2]: Command line arguments: Namespace(config_file='configs/PascalVOC-detection/split1/faster_rcnn_R_101_FPN_ETF_distill1_10shot.yaml', dist_url='tcp://127.0.0.1:49152', end_iter=-1, eval_all=False, eval_during_train=False, eval_iter=-1, eval_only=False, machine_rank=0, num_gpus=2, num_machines=1, opts=None, resume=False, start_iter=-1)
[11/15 16:34:29 detectron2]: Contents of args.config_file=configs/PascalVOC-detection/split1/faster_rcnn_R_101_FPN_ETF_distill1_10shot.yaml:
_BASE_: "faster_rcnn_R_101_FPN_ETF_pre1_10shot.yaml"


MODEL:
  META_ARCHITECTURE: "ContrastiveGeneralizedRCNN"  # 使用我们新定义的对比学习架构
  TEACHER_WEIGHT: "checkpoints/voc/prior/ETFRes_pre1_10shot_lr20_adj7.0_rfs1.0_t1/model_final.pth"
  
  BACKBONE:
    FREEZE_AT: 3
  PROPOSAL_GENERATOR:
    FREEZE: True
  ROI_HEADS:
    NAME: "DistillMarginROIHeads"
  USE_CONTRASTIVE: True  # 启用对比学习
  CONTRASTIVE_WEIGHT: 0.001  # 对比损失的权重
  IS_DISTILL: True
LOSS:
  ADJUST_STAGE: 'distill'
SOLVER:
  BASE_LR: 0.01
# Using 0.04 is slightly better than 0.02
OUTPUT_DIR: "checkpoints/voc/distill/contrastive/"
TRAIN:
  CACHE_UPDATE_INTERVAL: 1000



[11/15 16:34:29 detectron2]: Full config saved to /root/FSOD/checkpoints/voc/distill/ETFRes_distill1_10shot_lr10_/config.yaml
preset seed 0
[11/15 16:34:30 fsdet.modeling.roi_heads.fast_rcnn]: ETF Residusl True
[11/15 16:34:30 fsdet.modeling.roi_heads.fast_rcnn]: ETF Residusl True
froze proposal generator parameters
Logging names for 5 novel classes:  ['bird', 'bus', 'cow', 'motorbike', 'sofa']
[11/15 16:34:32 d2.data.build]: Removed 1920 images with no usable annotations. 14681 images left.
[11/15 16:34:32 d2.data.build]: Distribution of instances among all 20 categories:
|  category  | #instances   |  category   | #instances   |  category   | #instances   |
|:----------:|:-------------|:-----------:|:-------------|:-----------:|:-------------|
| aeroplane  | 1285         |   bicycle   | 1208         |    boat     | 1397         |
|   bottle   | 2116         |     car     | 4008         |     cat     | 1616         |
|   chair    | 4338         | diningtable | 1057         |     dog     | 2079         |
|   horse    | 1156         |   person    | 15576        | pottedplant | 1724         |
|   sheep    | 1347         |    train    | 984          |  tvmonitor  | 1193         |
|    bird    | 10           |     bus     | 10           |     cow     | 10           |
| motorbike  | 10           |    sofa     | 10           |             |              |
|   total    | 41134        |             |              |             |              |
[11/15 16:34:32 d2.data.dataset_mapper]: [DatasetMapper] Augmentations used in training: [ResizeShortestEdge(short_edge_length=(480, 512, 544, 576, 608, 640, 672, 704, 736, 768, 800), max_size=1333, sample_style='choice'), RandomFlip()]
[11/15 16:34:32 d2.data.build]: Using training sampler RepeatFactorTrainingSampler
[11/15 16:34:33 d2.data.common]: Serializing 14681 elements to byte tensors and concatenating them all ...
[11/15 16:34:33 d2.data.common]: Serialized dataset takes 6.67 MiB
WARNING [11/15 16:34:33 d2.solver.build]: SOLVER.STEPS contains values larger than SOLVER.MAX_ITER. These values will be ignored.
[11/15 16:34:33 fvcore.common.checkpoint]: [Checkpointer] Loading from checkpoints/voc/prior/ETFRes_pre1_10shot_lr20_adj7.0_rfs1.0_t1/model_clean_student.pth ...
Logging modification for finetuning
preset seed 0
froze proposal generator parameters
Logging names for 5 novel classes:  ['bird', 'bus', 'cow', 'motorbike', 'sofa']
WARNING [11/15 16:34:33 fvcore.common.checkpoint]: Some model parameters or buffers are not found in the checkpoint:
roi_heads.student_box_head.fc1.{bias, weight}
roi_heads.student_box_head.fc2.{bias, weight}
roi_heads.student_box_predictor.bbox_pred.{bias, weight}
roi_heads.student_box_predictor.cls_score.weight
roi_heads.student_box_predictor.mapping.weight
[11/15 16:34:33 d2.engine.train_loop]: Starting training from iteration 1
[W reducer.cpp:1158] Warning: find_unused_parameters=True was specified in DDP constructor, but did not find any unused parameters in the forward pass. This flag results in an extra traversal of the autograd graph every iteration,  which can adversely affect performance. If your model indeed never has any unused parameters in the forward pass, consider turning this flag off. Note that this warning may be a false positive if your model has flow control causing later iterations to have unused parameters. (function operator())
[W reducer.cpp:1158] Warning: find_unused_parameters=True was specified in DDP constructor, but did not find any unused parameters in the forward pass. This flag results in an extra traversal of the autograd graph every iteration,  which can adversely affect performance. If your model indeed never has any unused parameters in the forward pass, consider turning this flag off. Note that this warning may be a false positive if your model has flow control causing later iterations to have unused parameters. (function operator())
[11/15 16:35:08 d2.utils.events]:  eta: 2:59:53  iter: 19  total_loss: 2.846  loss_cls: 1.059  loss_box_reg: 0.3567  loss_rpn_cls: 0.01109  loss_rpn_loc: 0.01955  contrastive_loss: 1.547  time: 0.7408  data_time: 0.3810  lr: 0.0009091  max_mem: 12879M
[11/15 16:35:23 d2.utils.events]:  eta: 3:07:20  iter: 39  total_loss: 1.53  loss_cls: 0.3731  loss_box_reg: 0.3268  loss_rpn_cls: 0.01136  loss_rpn_loc: 0.01917  contrastive_loss: 0.8516  time: 0.7440  data_time: 0.0404  lr: 0.0019081  max_mem: 12879M
[11/15 16:35:38 d2.utils.events]:  eta: 3:05:04  iter: 59  total_loss: 0.9695  loss_cls: 0.2063  loss_box_reg: 0.311  loss_rpn_cls: 0.01647  loss_rpn_loc: 0.02321  contrastive_loss: 0.3885  time: 0.7502  data_time: 0.0403  lr: 0.0029071  max_mem: 12879M
[11/15 16:35:53 d2.utils.events]:  eta: 3:03:34  iter: 79  total_loss: 0.743  loss_cls: 0.1669  loss_box_reg: 0.3083  loss_rpn_cls: 0.01665  loss_rpn_loc: 0.02429  contrastive_loss: 0.2121  time: 0.7471  data_time: 0.0406  lr: 0.0039061  max_mem: 12879M
[11/15 16:36:09 d2.utils.events]:  eta: 3:06:49  iter: 99  total_loss: 0.6667  loss_cls: 0.1506  loss_box_reg: 0.3023  loss_rpn_cls: 0.01577  loss_rpn_loc: 0.02066  contrastive_loss: 0.1677  time: 0.7596  data_time: 0.0338  lr: 0.0049051  max_mem: 12879M
[11/15 16:36:25 d2.utils.events]:  eta: 3:08:26  iter: 119  total_loss: 0.6562  loss_cls: 0.1502  loss_box_reg: 0.3325  loss_rpn_cls: 0.01179  loss_rpn_loc: 0.02358  contrastive_loss: 0.1328  time: 0.7683  data_time: 0.0369  lr: 0.0059041  max_mem: 12879M
[11/15 16:36:40 d2.utils.events]:  eta: 3:09:00  iter: 139  total_loss: 0.5925  loss_cls: 0.1262  loss_box_reg: 0.304  loss_rpn_cls: 0.01557  loss_rpn_loc: 0.02595  contrastive_loss: 0.1168  time: 0.7695  data_time: 0.0379  lr: 0.0069031  max_mem: 12879M
[11/15 16:36:57 d2.utils.events]:  eta: 3:09:11  iter: 159  total_loss: 0.5771  loss_cls: 0.139  loss_box_reg: 0.2942  loss_rpn_cls: 0.009486  loss_rpn_loc: 0.02049  contrastive_loss: 0.09857  time: 0.7754  data_time: 0.0379  lr: 0.0079021  max_mem: 12879M
[11/15 16:37:13 d2.utils.events]:  eta: 3:09:09  iter: 179  total_loss: 0.58  loss_cls: 0.127  loss_box_reg: 0.3302  loss_rpn_cls: 0.01065  loss_rpn_loc: 0.02099  contrastive_loss: 0.0833  time: 0.7757  data_time: 0.0417  lr: 0.0089011  max_mem: 12879M
[11/15 16:37:28 d2.utils.events]:  eta: 3:08:54  iter: 199  total_loss: 0.5053  loss_cls: 0.1247  loss_box_reg: 0.2854  loss_rpn_cls: 0.01173  loss_rpn_loc: 0.0183  contrastive_loss: 0.06487  time: 0.7769  data_time: 0.0451  lr: 0.0099001  max_mem: 12882M
[11/15 16:37:44 d2.utils.events]:  eta: 3:08:38  iter: 219  total_loss: 0.4668  loss_cls: 0.1089  loss_box_reg: 0.2666  loss_rpn_cls: 0.01053  loss_rpn_loc: 0.02117  contrastive_loss: 0.07134  time: 0.7759  data_time: 0.0409  lr: 0.01  max_mem: 12882M
[11/15 16:38:00 d2.utils.events]:  eta: 3:09:03  iter: 239  total_loss: 0.4361  loss_cls: 0.09818  loss_box_reg: 0.2364  loss_rpn_cls: 0.00825  loss_rpn_loc: 0.01883  contrastive_loss: 0.05953  time: 0.7779  data_time: 0.0425  lr: 0.01  max_mem: 12882M
[11/15 16:38:15 d2.utils.events]:  eta: 3:08:48  iter: 259  total_loss: 0.4468  loss_cls: 0.1054  loss_box_reg: 0.245  loss_rpn_cls: 0.01026  loss_rpn_loc: 0.0199  contrastive_loss: 0.05541  time: 0.7768  data_time: 0.0422  lr: 0.01  max_mem: 12882M
[11/15 16:38:30 d2.utils.events]:  eta: 3:08:11  iter: 279  total_loss: 0.4253  loss_cls: 0.106  loss_box_reg: 0.2293  loss_rpn_cls: 0.009658  loss_rpn_loc: 0.01816  contrastive_loss: 0.04733  time: 0.7764  data_time: 0.0404  lr: 0.01  max_mem: 12882M
[11/15 16:38:46 d2.utils.events]:  eta: 3:07:56  iter: 299  total_loss: 0.4094  loss_cls: 0.1045  loss_box_reg: 0.2234  loss_rpn_cls: 0.009267  loss_rpn_loc: 0.01846  contrastive_loss: 0.05085  time: 0.7753  data_time: 0.0382  lr: 0.01  max_mem: 12882M
[11/15 16:39:01 d2.utils.events]:  eta: 3:07:36  iter: 319  total_loss: 0.3578  loss_cls: 0.08694  loss_box_reg: 0.2008  loss_rpn_cls: 0.008385  loss_rpn_loc: 0.01807  contrastive_loss: 0.04574  time: 0.7741  data_time: 0.0360  lr: 0.01  max_mem: 12882M
[11/15 16:39:16 d2.utils.events]:  eta: 3:07:06  iter: 339  total_loss: 0.36  loss_cls: 0.08877  loss_box_reg: 0.2121  loss_rpn_cls: 0.01028  loss_rpn_loc: 0.01706  contrastive_loss: 0.04493  time: 0.7733  data_time: 0.0399  lr: 0.01  max_mem: 12882M
[11/15 16:39:32 d2.utils.events]:  eta: 3:06:51  iter: 359  total_loss: 0.346  loss_cls: 0.07958  loss_box_reg: 0.1914  loss_rpn_cls: 0.008209  loss_rpn_loc: 0.01564  contrastive_loss: 0.03513  time: 0.7747  data_time: 0.0374  lr: 0.01  max_mem: 12882M
