nohup: ignoring input
Command Line Args: Namespace(config_file='configs/PascalVOC-detection/split2/faster_rcnn_R_101_FPN_ETF_distill2_10shot.yaml', dist_url='tcp://127.0.0.1:49152', end_iter=-1, eval_all=False, eval_during_train=False, eval_iter=-1, eval_only=False, machine_rank=0, num_gpus=2, num_machines=1, opts=None, resume=False, start_iter=-1)
Logging modification for finetuning
[11/18 15:13:29 detectron2]: Rank of current process: 0. World size: 2
[11/18 15:13:29 detectron2]: Command line arguments: Namespace(config_file='configs/PascalVOC-detection/split2/faster_rcnn_R_101_FPN_ETF_distill2_10shot.yaml', dist_url='tcp://127.0.0.1:49152', end_iter=-1, eval_all=False, eval_during_train=False, eval_iter=-1, eval_only=False, machine_rank=0, num_gpus=2, num_machines=1, opts=None, resume=False, start_iter=-1)
[11/18 15:13:29 detectron2]: Contents of args.config_file=configs/PascalVOC-detection/split2/faster_rcnn_R_101_FPN_ETF_distill2_10shot.yaml:
_BASE_: "faster_rcnn_R_101_FPN_ETF_pre2_10shot.yaml"


MODEL:
  META_ARCHITECTURE: "ContrastiveGeneralizedRCNN"  # 使用我们新定义的对比学习架构
  TEACHER_WEIGHT: "/root/autodl-tmp/checkpoints/voc/prior/ETFRes_pre2_10shot_lr20_adj1.0_rfs1.0_t1/model_final.pth"
  BACKBONE:
    FREEZE_AT: 3
  PROPOSAL_GENERATOR:
    FREEZE: True
  ROI_HEADS:
    NAME: "DistillMarginROIHeads"
  USE_CONTRASTIVE: True  # 启用对比学习
  CONTRASTIVE_WEIGHT: 0.001  # 对比损失的权重
  IS_DISTILL: True
LOSS:
  ADJUST_STAGE: 'distill'
SOLVER:
  BASE_LR: 0.01
# Using 0.04 is slightly better than 0.02
OUTPUT_DIR: "/root/autodl-tmp/checkpoints/voc/distill/t1"
TRAIN:
  CACHE_UPDATE_INTERVAL: 1000



[11/18 15:13:29 detectron2]: Full config saved to /root/autodl-tmp/ETFRes_distill2_10shot_lr10_t1/config.yaml
preset seed 0
/root/autodl-tmp/checkpoints/voc/prior/ETFRes_pre2_10shot_lr20_adj1.0_rfs1.0_t1/model_clean_student.pth
[11/18 15:13:30 fsdet.modeling.roi_heads.fast_rcnn]: ETF Residusl True
[11/18 15:13:30 fsdet.modeling.roi_heads.fast_rcnn]: ETF Residusl True
froze proposal generator parameters
Frozen backbone bottom_up layers up to layer 3
Logging names for 5 novel classes:  ['aeroplane', 'bottle', 'cow', 'horse', 'sofa']
[11/18 15:13:31 d2.data.build]: Removed 1772 images with no usable annotations. 14829 images left.
[11/18 15:13:32 d2.data.build]: Distribution of instances among all 20 categories:
|  category  | #instances   |  category   | #instances   |  category   | #instances   |
|:----------:|:-------------|:-----------:|:-------------|:-----------:|:-------------|
|  bicycle   | 1208         |    bird     | 1820         |    boat     | 1397         |
|    bus     | 909          |     car     | 4008         |     cat     | 1616         |
|   chair    | 4338         | diningtable | 1057         |     dog     | 2079         |
| motorbike  | 1141         |   person    | 15576        | pottedplant | 1724         |
|   sheep    | 1347         |    train    | 984          |  tvmonitor  | 1193         |
| aeroplane  | 10           |   bottle    | 10           |     cow     | 10           |
|   horse    | 10           |    sofa     | 10           |             |              |
|   total    | 40447        |             |              |             |              |
[11/18 15:13:32 d2.data.dataset_mapper]: [DatasetMapper] Augmentations used in training: [ResizeShortestEdge(short_edge_length=(480, 512, 544, 576, 608, 640, 672, 704, 736, 768, 800), max_size=1333, sample_style='choice'), RandomFlip()]
[11/18 15:13:32 d2.data.build]: Using training sampler RepeatFactorTrainingSampler
[11/18 15:13:32 d2.data.common]: Serializing 14829 elements to byte tensors and concatenating them all ...
[11/18 15:13:32 d2.data.common]: Serialized dataset takes 6.68 MiB
[11/18 15:13:32 fvcore.common.checkpoint]: [Checkpointer] Loading from /root/autodl-tmp/checkpoints/voc/prior/ETFRes_pre2_10shot_lr20_adj1.0_rfs1.0_t1/model_clean_student.pth ...
Logging modification for finetuning
preset seed 0
/root/autodl-tmp/checkpoints/voc/prior/ETFRes_pre2_10shot_lr20_adj1.0_rfs1.0_t1/model_clean_student.pth
froze proposal generator parameters
Frozen backbone bottom_up layers up to layer 3
Logging names for 5 novel classes:  ['aeroplane', 'bottle', 'cow', 'horse', 'sofa']
[11/18 15:13:33 d2.engine.train_loop]: Starting training from iteration 1
[W reducer.cpp:1158] Warning: find_unused_parameters=True was specified in DDP constructor, but did not find any unused parameters in the forward pass. This flag results in an extra traversal of the autograd graph every iteration,  which can adversely affect performance. If your model indeed never has any unused parameters in the forward pass, consider turning this flag off. Note that this warning may be a false positive if your model has flow control causing later iterations to have unused parameters. (function operator())
[W reducer.cpp:1158] Warning: find_unused_parameters=True was specified in DDP constructor, but did not find any unused parameters in the forward pass. This flag results in an extra traversal of the autograd graph every iteration,  which can adversely affect performance. If your model indeed never has any unused parameters in the forward pass, consider turning this flag off. Note that this warning may be a false positive if your model has flow control causing later iterations to have unused parameters. (function operator())
[11/18 15:14:07 d2.utils.events]:  eta: 4:06:39  iter: 19  total_loss: 1.813  loss_cls: 0.03206  loss_box_reg: 0.1238  loss_rpn_cls: 0.003377  loss_rpn_loc: 0.01382  contrastive_loss: 1.672  time: 0.7647  data_time: 0.4016  lr: 0.0009091  max_mem: 12989M
[11/18 15:14:22 d2.utils.events]:  eta: 4:10:49  iter: 39  total_loss: 0.7422  loss_cls: 0.03836  loss_box_reg: 0.1237  loss_rpn_cls: 0.005043  loss_rpn_loc: 0.01429  contrastive_loss: 0.5711  time: 0.7531  data_time: 0.0321  lr: 0.0019081  max_mem: 12989M
[11/18 15:14:37 d2.utils.events]:  eta: 4:10:34  iter: 59  total_loss: 0.4695  loss_cls: 0.04729  loss_box_reg: 0.1215  loss_rpn_cls: 0.006483  loss_rpn_loc: 0.01602  contrastive_loss: 0.287  time: 0.7575  data_time: 0.0314  lr: 0.0029071  max_mem: 12989M
[11/18 15:14:52 d2.utils.events]:  eta: 4:10:19  iter: 79  total_loss: 0.3966  loss_cls: 0.04559  loss_box_reg: 0.1335  loss_rpn_cls: 0.005369  loss_rpn_loc: 0.01614  contrastive_loss: 0.2016  time: 0.7585  data_time: 0.0297  lr: 0.0039061  max_mem: 12990M
[11/18 15:15:08 d2.utils.events]:  eta: 4:10:04  iter: 99  total_loss: 0.3497  loss_cls: 0.04188  loss_box_reg: 0.1215  loss_rpn_cls: 0.005041  loss_rpn_loc: 0.01477  contrastive_loss: 0.1591  time: 0.7623  data_time: 0.0317  lr: 0.0049051  max_mem: 12990M
[11/18 15:15:23 d2.utils.events]:  eta: 4:11:39  iter: 119  total_loss: 0.3221  loss_cls: 0.04341  loss_box_reg: 0.1228  loss_rpn_cls: 0.006304  loss_rpn_loc: 0.01499  contrastive_loss: 0.1256  time: 0.7652  data_time: 0.0316  lr: 0.0059041  max_mem: 12990M
[11/18 15:15:39 d2.utils.events]:  eta: 4:11:58  iter: 139  total_loss: 0.3223  loss_cls: 0.0436  loss_box_reg: 0.1342  loss_rpn_cls: 0.005265  loss_rpn_loc: 0.01436  contrastive_loss: 0.1171  time: 0.7651  data_time: 0.0306  lr: 0.0069031  max_mem: 12990M
[11/18 15:15:54 d2.utils.events]:  eta: 4:12:42  iter: 159  total_loss: 0.305  loss_cls: 0.04715  loss_box_reg: 0.1444  loss_rpn_cls: 0.005858  loss_rpn_loc: 0.01438  contrastive_loss: 0.103  time: 0.7662  data_time: 0.0279  lr: 0.0079021  max_mem: 12990M
[11/18 15:16:09 d2.utils.events]:  eta: 4:11:27  iter: 179  total_loss: 0.2761  loss_cls: 0.03641  loss_box_reg: 0.1096  loss_rpn_cls: 0.004282  loss_rpn_loc: 0.01434  contrastive_loss: 0.1128  time: 0.7635  data_time: 0.0301  lr: 0.0089011  max_mem: 12990M
[11/18 15:16:25 d2.utils.events]:  eta: 4:11:02  iter: 199  total_loss: 0.2633  loss_cls: 0.03908  loss_box_reg: 0.1189  loss_rpn_cls: 0.005252  loss_rpn_loc: 0.01257  contrastive_loss: 0.07699  time: 0.7649  data_time: 0.0294  lr: 0.0099001  max_mem: 12990M
[11/18 15:16:40 d2.utils.events]:  eta: 4:10:57  iter: 219  total_loss: 0.276  loss_cls: 0.04297  loss_box_reg: 0.1305  loss_rpn_cls: 0.006732  loss_rpn_loc: 0.01719  contrastive_loss: 0.06922  time: 0.7676  data_time: 0.0282  lr: 0.01  max_mem: 12990M
[11/18 15:16:56 d2.utils.events]:  eta: 4:10:31  iter: 239  total_loss: 0.2583  loss_cls: 0.04612  loss_box_reg: 0.1428  loss_rpn_cls: 0.005669  loss_rpn_loc: 0.01789  contrastive_loss: 0.05546  time: 0.7679  data_time: 0.0318  lr: 0.01  max_mem: 12990M
[11/18 15:17:11 d2.utils.events]:  eta: 4:10:26  iter: 259  total_loss: 0.2613  loss_cls: 0.04148  loss_box_reg: 0.1265  loss_rpn_cls: 0.00457  loss_rpn_loc: 0.01679  contrastive_loss: 0.05742  time: 0.7674  data_time: 0.0275  lr: 0.01  max_mem: 12990M
[11/18 15:17:26 d2.utils.events]:  eta: 4:10:11  iter: 279  total_loss: 0.2323  loss_cls: 0.03935  loss_box_reg: 0.1238  loss_rpn_cls: 0.004878  loss_rpn_loc: 0.01375  contrastive_loss: 0.05477  time: 0.7661  data_time: 0.0293  lr: 0.01  max_mem: 12990M
[11/18 15:17:42 d2.utils.events]:  eta: 4:09:56  iter: 299  total_loss: 0.2296  loss_cls: 0.03867  loss_box_reg: 0.1177  loss_rpn_cls: 0.005785  loss_rpn_loc: 0.01578  contrastive_loss: 0.04302  time: 0.7671  data_time: 0.0294  lr: 0.01  max_mem: 12990M
[11/18 15:17:57 d2.utils.events]:  eta: 4:09:40  iter: 319  total_loss: 0.2367  loss_cls: 0.04189  loss_box_reg: 0.1397  loss_rpn_cls: 0.005327  loss_rpn_loc: 0.01399  contrastive_loss: 0.03221  time: 0.7670  data_time: 0.0263  lr: 0.01  max_mem: 12990M
[11/18 15:18:12 d2.utils.events]:  eta: 4:09:07  iter: 339  total_loss: 0.2256  loss_cls: 0.03827  loss_box_reg: 0.1259  loss_rpn_cls: 0.005507  loss_rpn_loc: 0.01533  contrastive_loss: 0.03723  time: 0.7655  data_time: 0.0261  lr: 0.01  max_mem: 12990M
